Track name,Artist name,Album,Playlist name,Type,ISRC,Spotify - id
"El Perdón (with Enrique Iglesias)","Nicky Jam","Fénix","Learn Spanish","Playlist","USSD11500005","7qCAVkHWZkF44OzOUKf8Cr"
"Reggaetón Lento (Bailemos)","CNCO","Primera Cita","Learn Spanish","Playlist","USSD11600135","3AEZUABDXNtecAOSC1qTfo"
"DUELE EL CORAZON (feat. Wisin)","Enrique Iglesias","DUELE EL CORAZON (feat. Wisin)","Learn Spanish","Playlist","USRC11600642","6YZdkObH88npeKrrkb8Ggf"
"Mi Gente","J Balvin","Vibras","Learn Spanish","Playlist","FR22F1701790","7COfe3P7KgfwDwIRB8LIDw"
"Hasta el Amanecer","Nicky Jam","Fénix","Learn Spanish","Playlist","USSD11500463","5Fim1gaXBgsiFfsQAfQSDS"
"Dura","Daddy Yankee","Dura","Learn Spanish","Playlist","US2BU1700200","6KuqAtoeVzxAYOaMveLNpH"
"Bien Tropical","Mozart La Para","Bien Tropical","Learn Spanish","Playlist","QMJMT1801887","3QP2Q74rhpBFcLh3ub5E8Y"
"Baby Girl (feat. Lalo Ebratt)","Mario Bautista","Baby Girl (feat. Lalo Ebratt)","Learn Spanish","Playlist","MXF151800243","6o8ogTrSX8H0F66Pdz3Tsc"
"Te Boté - Remix","Nio Garcia","Te Boté (Remix)","Learn Spanish","Playlist","QM4TW1811888","3V8UKqhEK5zBkBb6d6ub8i"
"Mujeres","Mozart La Para","Mujeres","Learn Spanish","Playlist","QMJMT1801580","6xLvYhLOW2oETJoZv8ChU8"
"Escápate Conmigo (feat. Ozuna)","Wisin","Victory","Learn Spanish","Playlist","USSD11700076","1KSqYYJFyfTecXFk9M0prc"
"Bonita","J Balvin","Bonita","Learn Spanish","Playlist","USLZJ1770735","0atfY1ew83Ql9nNnJiD2t5"
"X","Nicky Jam","X","Learn Spanish","Playlist","USSD11800024","39N9RPD9MRb5WmoLzNzPeA"
"Felices los 4","Maluma","F.A.M.E.","Learn Spanish","Playlist","USSD11700134","1RouRzlg8OKFeqc6LvdxmB"
"SUBEME LA RADIO","Enrique Iglesias","SUBEME LA RADIO (feat. Descemer Bueno & Zion & Lennox)","Learn Spanish","Playlist","USRC11700058","7nKBxz47S9SD79N086fuhn"
"Safari","J Balvin","Energía","Learn Spanish","Playlist","USUM71604778","456xBIOmLRoLzCvCzZrWge"
"Si Tú La Ves (feat. Wisin)","Nicky Jam","Fénix","Learn Spanish","Playlist","USSD11600423","4yN6xPLopmTLvc27pO9LIE"
"Tu Veras Si Me Crees","Young F","Tu Veras Si Me Crees","Learn Spanish","Playlist","COAKK1900016","41LLFX3jfZfyTfbZIEJsCu"
"Ginza - Remix","J Balvin","Ginza (Remix)","Learn Spanish","Playlist","MXUM71502649","1tJw60G9KHl7fYVdQ2JDgo"
"El Amante","Nicky Jam","Fénix","Learn Spanish","Playlist","USSD11600415","3umS4y3uQDkqekNjVpiRUs"
"Me Rehúso","Danny Ocean","54+1","Learn Spanish","Playlist","USWL11900076","6ifUES3keWjwXgae8pXI3o"
"Otra Vez (feat. J Balvin)","Zion & Lennox","Motivan2","Learn Spanish","Playlist","USWL11600244","3QwBODjSEzelZyVjxPOHdq"
"La Rompe Corazones","Daddy Yankee","La Rompe Corazones","Learn Spanish","Playlist","US2BU1603070","2Q85xwXagilpHKTfdrbC7M"
"Sigo Extrañándote","J Balvin","Energía","Learn Spanish","Playlist","USUM71604779","0k23rRi1B8ZHrKtzECGoyk"
"Báilame","Nacho","La Criatura","Learn Spanish","Playlist","USUM71703461","3umCRVVIPZ72WnperWxLgL"
"Besándote","Piso 21","Ubuntu","Learn Spanish","Playlist","MXF151700080","43jclIPKJv9iFiYWVyWqsb"
"EL BAÑO","Enrique Iglesias","EL BAÑO","Learn Spanish","Playlist","USRC11701002","2vvdTrdryjsl8DmPIMDWZU"
"Shaky Shaky","Daddy Yankee","Shaky Shaky","Learn Spanish","Playlist","US2BU1600020","7gcMKL3lnDxsp4bIXyv6Zk"
"Borro Cassette","Maluma","Pretty Boy, Dirty Boy","Learn Spanish","Playlist","USSD11500124","6DUdDIRgLqCGq1DwkNWQTN"
"Déjame Te Explico","Reykon","El Lider","Learn Spanish","Playlist","USWL11700003","5M2tojb0yj6d313gKh40GA"
"Bobo","J Balvin","Energía","Learn Spanish","Playlist","MXUM71600599","5kdTuoKeqdnblCop75wMuX"
"No digas nada","Mario Bautista","Otra Órbita","Learn Spanish","Playlist","MXB971700011","5uri4QSUkltuHijM9aq1SQ"
"Como Antes (feat. Wisin)","Yandel","#Update","Learn Spanish","Playlist","USSD11700379","5YzA563GXTuwQaRq24z1k5"
"Kung Fu","Dasoul","Kung Fu","Learn Spanish","Playlist","ES5701700183","5bCqP8qJkx52Ntoe9VvxSe"
"Darte un Beso","Prince Royce","Soy el Mismo","Learn Spanish","Playlist","USSD11300195","6cJLfIqwh0tCKRjYM3WpZ5"
